date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:53:17	11687/11687	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:17%20GMT	https://lab.insightsecurity.com.br/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/index.html	(from )
16:53:17	100/100	---MCZ	200	added ('OK')	text/plain	etag:W/%2280b89e445546aa36248e6604e76b1a30%22	https://lab.insightsecurity.com.br/robots.txt		(from )
16:53:17	1086/1086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2256974e6b57c7bd51448c309915ca0d6c%22	https://lab.insightsecurity.com.br/favicon.ico	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/favicon.ico	(from https://lab.insightsecurity.com.br/)
16:53:17	46105/46105	---MCZ	200	added ('OK')	text/css	etag:W/%22b419-15627624980%22	https://lab.insightsecurity.com.br/assets/css/screen.css?v=89ed80cff4	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/assets/css/screen66a1.css	(from https://lab.insightsecurity.com.br/)
16:53:17	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2018:53:18%20GMT	http://lab.insightsecurity.com.br/content/images/2016/12/BACKGROUND2.jpg	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/content/images/2016/12/BACKGROUND2.2.delayed	(from https://lab.insightsecurity.com.br/)
16:53:18	5277/5277	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:18%20GMT	https://lab.insightsecurity.com.br/page/2/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/page/2/index.html	(from https://lab.insightsecurity.com.br/)
16:53:20	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2018:53:19%20GMT	http://lab.insightsecurity.com.br/subscribe/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/subscribe/index.html	(from https://lab.insightsecurity.com.br/)
16:53:20	361422/361422	---M--	200	added ('OK')	image/jpeg	etag:W/%22583ce-158f82cf248%22	https://lab.insightsecurity.com.br/content/images/2016/12/BACKGROUND2.jpg	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/content/images/2016/12/BACKGROUND2.jpg	(from https://lab.insightsecurity.com.br/)
16:53:20	23321/23321	---MCZ	200	added ('OK')	text/xml	etag:W/%225b19-PxW99aT+Wh/r5N++wZiA4Q%22	https://lab.insightsecurity.com.br/rss/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/rss/index.html	(from https://lab.insightsecurity.com.br/)
16:53:21	13023/13023	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:21%20GMT	https://lab.insightsecurity.com.br/phishruffus-intelligent-threat-hunter-and-phishing-servers/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/phishruffus-intelligent-threat-hunter-and-phishing-servers/index.html	(from https://lab.insightsecurity.com.br/)
16:53:21	12830/12830	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:21%20GMT	https://lab.insightsecurity.com.br/author/jhonathan_davi/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/author/jhonathan_davi/index.html	(from https://lab.insightsecurity.com.br/)
16:53:21	19587/19587	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:21%20GMT	https://lab.insightsecurity.com.br/remote-command-execution-on-jboss-banking-hacking-caixa/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/remote-command-execution-on-jboss-banking-hacking-caixa/index.html	(from https://lab.insightsecurity.com.br/)
16:53:22	97362/97362	---MCZ	200	added ('OK')	application/javascript	etag:W/%22569014b6-17c52%22	https://code.jquery.com/jquery-1.12.0.min.js	C:/Users/Patrick/Desktop/insightl4b/code.jquery.com/jquery-1.12.0.min.js	(from https://lab.insightsecurity.com.br/)
16:53:23	867149/867149	---M--	200	added ('OK')	image/jpeg	etag:W/%22d3b4d-156a4572208%22	https://lab.insightsecurity.com.br/content/images/2016/08/IMG_20160701_160800.jpg	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/content/images/2016/08/IMG_20160701_160800.jpg	(from https://lab.insightsecurity.com.br/)
16:53:23	6109/6109	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:22%20GMT	https://lab.insightsecurity.com.br/tag/caixa/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/tag/caixa/index.html	(from https://lab.insightsecurity.com.br/)
16:53:23	8843/8843	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2018:53:22%20GMT	https://lab.insightsecurity.com.br/tag/hacking/	C:/Users/Patrick/Desktop/insightl4b/lab.insightsecurity.com.br/tag/hacking/index.html	(from https://lab.insightsecurity.com.br/)
